customer_id,zip_FK,signup_date,gender,age_group,acq_channel
1,15201,2021-12-30,Female,35-44,social_media
2,15201,2013-12-27,Female,45-54,email_campaign
3,15201,2018-07-24,Female,18-24,organic_search
4,15201,2017-11-29,Male,35-44,referral
5,15201,2022-09-23,Male,55+,organic_search
6,15202,2022-04-14,Female,25-34,organic_search
8,15202,2015-09-11,Male,45-54,social_media
9,15202,2020-02-14,Male,35-44,email_campaign
10,15202,2014-03-03,Male,25-34,organic_search
11,15203,2017-11-07,Male,35-44,organic_search
12,15203,2020-11-20,Female,45-54,organic_search
13,15203,2014-01-17,Female,25-34,direct
14,15203,2017-07-31,Female,45-54,social_media
15,15203,2022-01-29,Male,35-44,direct
16,15204,2021-03-25,Female,45-54,referral
17,15204,2017-11-15,Male,25-34,social_media
18,15204,2021-08-06,Male,45-54,referral
20,15204,2013-01-07,Male,45-54,paid_search
22,15205,2022-06-12,Male,35-44,organic_search
23,15205,2019-04-18,Female,45-54,organic_search
24,15205,2016-12-08,Male,18-24,social_media
26,15206,2019-04-04,Male,35-44,paid_search
27,15206,2015-10-25,Non-binary,18-24,social_media
28,15206,2015-11-24,Male,25-34,email_campaign
30,15206,2021-09-18,Male,45-54,social_media
32,15207,2022-09-05,Female,25-34,paid_search
33,15207,2021-02-26,Male,25-34,organic_search
35,15207,2019-09-11,Male,35-44,referral
36,15208,2021-04-16,Female,35-44,paid_search
38,15208,2021-10-31,Female,35-44,email_campaign
40,15208,2021-07-01,Female,25-34,social_media
41,15209,2022-06-29,Male,35-44,organic_search
42,15209,2014-09-08,Male,45-54,paid_search
43,15209,2017-12-21,Female,45-54,direct
44,15209,2018-09-24,Male,25-34,organic_search
45,15209,2015-07-17,Non-binary,55+,social_media
46,15210,2018-01-14,Female,35-44,social_media
47,15210,2015-12-25,Male,45-54,organic_search
48,15210,2018-08-06,Female,45-54,email_campaign
49,15210,2021-12-19,Male,25-34,organic_search
50,15210,2019-07-22,Male,18-24,direct
51,15211,2019-08-11,Female,25-34,paid_search
52,15211,2017-09-23,Male,35-44,social_media
53,15211,2018-06-19,Female,35-44,direct
55,15211,2022-01-23,Male,45-54,paid_search
56,15212,2021-10-03,Female,45-54,email_campaign
57,15212,2017-03-06,Female,25-34,organic_search
58,15212,2022-09-03,Male,25-34,social_media
59,15212,2017-01-22,Male,55+,social_media
60,15212,2019-09-14,Female,18-24,referral
62,15213,2021-12-31,Female,25-34,social_media
63,15213,2021-05-01,Male,25-34,paid_search
64,15213,2022-05-06,Male,18-24,organic_search
67,15214,2017-12-27,Male,18-24,social_media
68,15214,2014-04-01,Male,35-44,social_media
69,15214,2019-01-10,Male,18-24,email_campaign
70,15214,2018-06-22,Male,18-24,direct
71,15215,2017-09-30,Male,35-44,direct
74,15215,2019-01-06,Male,35-44,direct
75,15215,2022-02-13,Female,35-44,paid_search
76,15216,2019-11-13,Female,35-44,paid_search
78,15216,2020-06-20,Male,25-34,paid_search
79,15216,2018-06-09,Female,45-54,email_campaign
80,15216,2018-03-19,Male,25-34,paid_search
81,15217,2021-05-14,Male,25-34,email_campaign
82,15217,2018-05-31,Male,35-44,organic_search
83,15217,2021-07-23,Male,25-34,direct
85,15217,2019-11-26,Male,35-44,paid_search
86,15218,2017-11-10,Female,18-24,paid_search
88,15218,2020-12-03,Female,25-34,paid_search
89,15218,2015-10-11,Male,45-54,referral
90,15218,2014-09-21,Female,45-54,paid_search
91,15219,2016-02-23,Female,25-34,organic_search
92,15219,2021-11-26,Female,18-24,referral
94,15219,2020-02-15,Female,35-44,social_media
95,15219,2015-02-28,Male,35-44,organic_search
96,15220,2019-09-22,Female,35-44,social_media
98,15220,2021-02-03,Male,18-24,organic_search
101,15221,2013-05-08,Female,25-34,organic_search
102,15221,2022-08-12,Male,35-44,email_campaign
103,15221,2022-04-27,Male,18-24,organic_search
104,15221,2021-02-28,Non-binary,25-34,email_campaign
